Cameras as of 2025-05-05,,,,,,,,,,,
Server Name,Device Name,IP Address,Model,MAC Address,switch/port,Firmware Version,Serial Number,Bitrate,Resolution,Quality,Image Rate
Byng Campus West NVR (202),Sports Complex Ticket Gate (202.100),10.10.202.100,8.0C-H5A-BO1-IR,00:18:85:53:C0:48,,4.86.0.20(7a7d6563),1.12404E+11,14704,3840x2160,6,15
Byng Campus West NVR (202),Cafeteria Ext SE (202.20),10.10.202.20,8.0C-H5A-BO1-IR,00:18:85:36:08:A9,,4.86.0.20(7a7d6563),1.12104E+11,4976,3840x2160,6,10
Byng Campus West NVR (202),Cafeteria Dining Room SW (202.21),10.10.202.21,6.0C-H5A-D1-IR,00:18:85:33:7F:B2,,4.86.0.20(7a7d6563),1.12012E+11,4752,3200x1800,6,10
Byng Campus West NVR (202),Cafeteria Ext E (202.22) (3 views),10.10.202.22,24C-H4A-3MH-270,00:18:85:36:3E:ED,,4.36.0.26(fe36bbcb),1.02105E+11,,,,
Byng Campus West NVR (202),Cafeteria Ext E view 3 (202.22),10.10.202.22,24C-H4A-3MH-270,00:18:85:36:3E:ED,,4.36.0.26(fe36bbcb),1.02105E+11,4392,3840x2160,6,12
Byng Campus West NVR (202),Cafeteria Ext E view 2 (202.22),10.10.202.22,24C-H4A-3MH-270,00:18:85:36:3E:ED,,4.36.0.26(fe36bbcb),1.02105E+11,2568,3840x2160,6,12
Byng Campus West NVR (202),Cafeteria Ext E view 1 (202.22),10.10.202.22,24C-H4A-3MH-270,00:18:85:36:3E:ED,,4.36.0.26(fe36bbcb),1.02105E+11,2648,3840x2160,6,12
Byng Campus West NVR (202),Cafeteria Ext NE Kitchen Entry (202.23),10.10.202.23,6.0C-H5A-DO1-IR,00:18:85:36:9C:72,,4.86.0.20(7a7d6563),1.12105E+11,6776,3200x1800,6,15
Byng Campus West NVR (202),Cafeteria Ext N (202.24) (3 views),10.10.202.24,24C-H4A-3MH-180,00:18:85:36:40:80,,4.36.0.26(fe36bbcb),1.02105E+11,,,,
Byng Campus West NVR (202),Cafeteria Ext N view 1 (202.24),10.10.202.24,24C-H4A-3MH-180,00:18:85:36:40:80,,4.36.0.26(fe36bbcb),1.02105E+11,8528,3840x2160,6,12
Byng Campus West NVR (202),Cafeteria Ext N view 2 (202.24),10.10.202.24,24C-H4A-3MH-180,00:18:85:36:40:80,,4.36.0.26(fe36bbcb),1.02105E+11,5624,3840x2160,6,12
Byng Campus West NVR (202),Cafeteria Ext N view 3 (202.24),10.10.202.24,24C-H4A-3MH-180,00:18:85:36:40:80,,4.36.0.26(fe36bbcb),1.02105E+11,7936,3840x2160,6,12
Byng Campus West NVR (202),Cafeteria Dining Room NE (202.25),10.10.202.25,6.0C-H5A-D1-IR,00:18:85:33:3C:F5,,4.86.0.20(7a7d6563),1.12011E+11,3760,3200x1800,6,10
Byng Campus West NVR (202),Cafeteria Dining Room NW (202.26),10.10.202.26,6.0C-H5A-D1-IR,00:18:85:2F:DA:C6,,4.86.0.20(7a7d6563),1.12006E+11,3872,3200x1800,6,10
Byng Campus West NVR (202),Cafeteria Ext S (202.27) (3 views),10.10.202.27,24C-H4A-3MH-180,00:18:85:36:3F:C6,,4.36.0.26(fe36bbcb),1.02105E+11,,,,
Byng Campus West NVR (202),Cafeteria Ext S view 3 (202.27),10.10.202.27,24C-H4A-3MH-180,00:18:85:36:3F:C6,,4.36.0.26(fe36bbcb),1.02105E+11,10568,3840x2160,6,12
Byng Campus West NVR (202),Cafeteria Ext S view 2 (202.27),10.10.202.27,24C-H4A-3MH-180,00:18:85:36:3F:C6,,4.36.0.26(fe36bbcb),1.02105E+11,9184,3840x2160,6,12
Byng Campus West NVR (202),Cafeteria Ext S view 1 (202.27),10.10.202.27,24C-H4A-3MH-180,00:18:85:36:3F:C6,,4.36.0.26(fe36bbcb),1.02105E+11,9736,3840x2160,6,12
